product_id,product_name,product_group_id,price,stock_quantity,description,manufacturer,supplier_id,weight,dimensions,created_at,updated_at
11,Smartphone A2,1,749.99,45,"A high-end smartphone with 256GB storage","BrandTech",101,0.16,"6.2 x 3.0 x 0.3 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
12,Laptop X300,2,1399.99,28,"Powerful laptop with 32GB RAM and 1TB SSD","CompuTech",102,1.6,"14.0 x 9.3 x 0.7 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
13,Tablet Z20,3,549.99,65,"10-inch tablet with 128GB storage","TabWorld",103,0.55,"10.0 x 7.0 x 0.3 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
14,Smartwatch S4,4,229.99,95,"Smartwatch with ECG and GPS","WearableTech",104,0.06,"1.7 x 1.7 x 0.4 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
15,Wireless Earbuds B3,5,149.99,140,"Noise-cancelling wireless earbuds with longer battery life","AudioPlus",105,0.025,"2.6 x 2.6 x 1 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
16,4K TV 65",6,999.99,18,"65-inch 4K Ultra HD Smart TV","VisionElectronics",106,18,"57.1 x 32.7 x 2.4 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
17,Digital Camera D6,7,599.99,35,"Digital camera with 30.4MP sensor and 4K video recording","CaptureTech",107,0.65,"5.1 x 4.0 x 3.0 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
18,Bluetooth Speaker S2,8,119.99,75,"Portable Bluetooth speaker with 15-hour battery life","SoundWave",108,0.35,"7.1 x 3.0 x 2.8 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
19,Smart Home Hub H3,9,179.99,55,"Smart home hub with advanced voice assistant integration","HomeSmart",109,0.45,"3.6 x 3.6 x 1.8 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
20,Gaming Console G2,10,549.99,22,"Next-gen gaming console with 2TB storage","GameMaster",110,3.8,"15.5 x 10.3 x 4.2 inches","2023-05-20 11:00:00","2023-05-20 11:00:00"
21,Smartphone B1,1,799.99,48,"A high-end smartphone with 512GB storage","BrandTech",101,0.17,"6.3 x 3.1 x 0.3 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
22,Laptop Y200,2,1499.99,27,"Powerful laptop with 64GB RAM and 2TB SSD","CompuTech",102,1.7,"15.0 x 10.0 x 0.8 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
23,Tablet Q10,3,599.99,60,"10.5-inch tablet with 256GB storage","TabWorld",103,0.6,"10.2 x 7.2 x 0.3 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
24,Smartwatch T3,4,249.99,90,"Smartwatch with blood oxygen monitor and GPS","WearableTech",104,0.07,"1.8 x 1.8 x 0.4 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
25,Wireless Earbuds C2,5,159.99,135,"Noise-cancelling wireless earbuds with superior sound quality","AudioPlus",105,0.03,"2.7 x 2.7 x 1 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
26,4K TV 75",6,1299.99,16,"75-inch 4K Ultra HD Smart TV","VisionElectronics",106,20,"66.5 x 38.2 x 2.5 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
27,Digital Camera E5,7,699.99,32,"Digital camera with 36.5MP sensor and 4K video recording","CaptureTech",107,0.7,"5.2 x 4.1 x 3.1 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
28,Bluetooth Speaker T1,8,139.99,70,"Portable Bluetooth speaker with 20-hour battery life","SoundWave",108,0.4,"7.2 x 3.1 x 2.9 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
29,Smart Home Hub Z2,9,199.99,50,"Smart home hub with advanced AI integration","HomeSmart",109,0.5,"3.7 x 3.7 x 1.9 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
30,Gaming Console X1,10,599.99,20,"Next-gen gaming console with 2TB storage and VR support","GameMaster",110,4,"15.6 x 10.4 x 4.3 inches","2023-04-19 12:00:00","2023-04-19 12:00:00"
31,Smartphone C1,1,849.99,46,"A high-end smartphone with 1TB storage","BrandTech",101,0.18,"6.4 x 3.2 x 0.3 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
32,Laptop Z100,2,1599.99,26,"Powerful laptop with 128GB RAM and 4TB SSD","CompuTech",102,1.8,"16.0 x 10.5 x 0.9 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
33,Tablet P10,3,649.99,55,"11-inch tablet with 512GB storage","TabWorld",103,0.65,"10.3 x 7.3 x 0.3 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
34,Smartwatch U3,4,269.99,85,"Smartwatch with ECG, blood oxygen monitor, and GPS","WearableTech",104,0.08,"1.9 x 1.9 x 0.4 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
35,Wireless Earbuds D2,5,179.99,130,"Noise-cancelling wireless earbuds with premium sound quality","AudioPlus",105,0.035,"2.8 x 2.8 x 1 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
36,4K TV 85",6,1499.99,14,"85-inch 4K Ultra HD Smart TV","VisionElectronics",106,22,"75.0 x 42.3 x 2.6 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
37,Digital Camera F5,7,799.99,30,"Digital camera with 45.7MP sensor and 8K video recording","CaptureTech",107,0.75,"5.3 x 4.2 x 3.2 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
38,Bluetooth Speaker U1,8,159.99,65,"Portable Bluetooth speaker with 24-hour battery life","SoundWave",108,0.45,"7.3 x 3.2 x 3.0 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
39,Smart Home Hub Y2,9,219.99,45,"Smart home hub with advanced AI and voice assistant integration","HomeSmart",109,0.55,"3.8 x 3.8 x 2.0 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
40,Gaming Console Y1,10,649.99,18,"Next-gen gaming console with 4TB storage and VR support","GameMaster",110,4.2,"15.7 x 10.5 x 4.4 inches","2023-03-18 13:00:00","2023-03-18 13:00:00"
41,Smartphone D1,1,899.99,44,"A high-end smartphone with 2TB storage","BrandTech",101,0.19,"6.5 x 3.3 x 0.3 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
42,Laptop A200,2,1699.99,25,"Powerful laptop with 256GB RAM and 8TB SSD","CompuTech",102,1.9,"17.0 x 11.0 x 1.0 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
43,Tablet R10,3,699.99,50,"12-inch tablet with 1TB storage","TabWorld",103,0.7,"10.4 x 7.4 x 0.3 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
44,Smartwatch V3,4,289.99,80,"Smartwatch with ECG, blood oxygen monitor, GPS, and LTE","WearableTech",104,0.09,"2.0 x 2.0 x 0.4 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
45,Wireless Earbuds E2,5,199.99,125,"Noise-cancelling wireless earbuds with immersive sound quality","AudioPlus",105,0.04,"2.9 x 2.9 x 1 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
46,4K TV 95",6,1699.99,12,"95-inch 4K Ultra HD Smart TV","VisionElectronics",106,24,"84.0 x 47.5 x 2.7 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
47,Digital Camera G5,7,899.99,28,"Digital camera with 60.2MP sensor and 8K video recording","CaptureTech",107,0.8,"5.4 x 4.3 x 3.3 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
48,Bluetooth Speaker V1,8,179.99,60,"Portable Bluetooth speaker with 30-hour battery life","SoundWave",108,0.5,"7.4 x 3.3 x 3.1 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
49,Smart Home Hub X2,9,239.99,40,"Smart home hub with advanced AI, voice assistant, and security features","HomeSmart",109,0.6,"3.9 x 3.9 x 2.1 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
50,Gaming Console Z1,10,699.99,16,"Next-gen gaming console with 8TB storage and VR support","GameMaster",110,4.4,"15.8 x 10.6 x 4.5 inches","2023-02-17 14:00:00","2023-02-17 14:00:00"
51,Smartphone E1,1,949.99,42,"A high-end smartphone with 4TB storage","BrandTech",101,0.2,"6.6 x 3.4 x 0.3 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
52,Laptop B200,2,1799.99,24,"Powerful laptop with 512GB RAM and 16TB SSD","CompuTech",102,2,"18.0 x 11.5 x 1.1 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
53,Tablet S10,3,749.99,45,"12.5-inch tablet with 2TB storage","TabWorld",103,0.75,"10.5 x 7.5 x 0.3 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
54,Smartwatch W3,4,309.99,75,"Smartwatch with ECG, blood oxygen monitor, GPS, LTE, and NFC","WearableTech",104,0.1,"2.1 x 2.1 x 0.4 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
55,Wireless Earbuds F2,5,219.99,120,"Noise-cancelling wireless earbuds with studio-quality sound","AudioPlus",105,0.045,"3.0 x 3.0 x 1 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
56,4K TV 105",6,1899.99,10,"105-inch 4K Ultra HD Smart TV","VisionElectronics",106,26,"94.0 x 53.0 x 2.8 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
57,Digital Camera H5,7,999.99,26,"Digital camera with 75.4MP sensor and 8K video recording","CaptureTech",107,0.85,"5.5 x 4.4 x 3.4 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
58,Bluetooth Speaker W1,8,199.99,55,"Portable Bluetooth speaker with 40-hour battery life","SoundWave",108,0.55,"7.5 x 3.4 x 3.2 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
59,Smart Home Hub W2,9,259.99,35,"Smart home hub with advanced AI, voice assistant, security, and home automation","HomeSmart",109,0.65,"4.0 x 4.0 x 2.2 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
60,Gaming Console W1,10,749.99,14,"Next-gen gaming console with 16TB storage and VR support","GameMaster",110,4.6,"15.9 x 10.7 x 4.6 inches","2023-01-16 15:00:00","2023-01-16 15:00:00"
61,Smartphone F1,1,999.99,40,"A high-end smartphone with 8TB storage","BrandTech",101,0.21,"6.7 x 3.5 x 0.3 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
62,Laptop C200,2,1899.99,23,"Powerful laptop with 1TB RAM and 32TB SSD","CompuTech",102,2.1,"19.0 x 12.0 x 1.2 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
63,Tablet T10,3,799.99,40,"13-inch tablet with 4TB storage","TabWorld",103,0.8,"10.6 x 7.6 x 0.3 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
64,Smartwatch X3,4,329.99,70,"Smartwatch with ECG, blood oxygen monitor, GPS, LTE, NFC, and solar charging","WearableTech",104,0.11,"2.2 x 2.2 x 0.4 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
65,Wireless Earbuds G2,5,239.99,115,"Noise-cancelling wireless earbuds with audiophile-grade sound","AudioPlus",105,0.05,"3.1 x 3.1 x 1 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
66,4K TV 115",6,2099.99,8,"115-inch 4K Ultra HD Smart TV","VisionElectronics",106,28,"104.0 x 58.5 x 2.9 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
67,Digital Camera I5,7,1099.99,24,"Digital camera with 90.1MP sensor and 8K video recording","CaptureTech",107,0.9,"5.6 x 4.5 x 3.5 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
68,Bluetooth Speaker X1,8,219.99,50,"Portable Bluetooth speaker with 50-hour battery life","SoundWave",108,0.6,"7.6 x 3.5 x 3.3 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
69,Smart Home Hub V2,9,279.99,30,"Smart home hub with advanced AI, voice assistant, security, home automation, and energy monitoring","HomeSmart",109,0.7,"4.1 x 4.1 x 2.3 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
70,Gaming Console V1,10,799.99,12,"Next-gen gaming console with 32TB storage and VR support","GameMaster",110,4.8,"16.0 x 10.8 x 4.7 inches","2022-12-15 16:00:00","2022-12-15 16:00:00"
71,Smartphone G1,1,1049.99,38,"A high-end smartphone with 16TB storage","BrandTech",101,0.22,"6.8 x 3.6 x 0.3 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
72,Laptop D200,2,1999.99,22,"Powerful laptop with 2TB RAM and 64TB SSD","CompuTech",102,2.2,"20.0 x 12.5 x 1.3 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
73,Tablet U10,3,849.99,35,"13.5-inch tablet with 8TB storage","TabWorld",103,0.85,"10.7 x 7.7 x 0.3 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
74,Smartwatch Y3,4,349.99,65,"Smartwatch with ECG, blood oxygen monitor, GPS, LTE, NFC, solar charging, and AI assistant","WearableTech",104,0.12,"2.3 x 2.3 x 0.4 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
75,Wireless Earbuds H2,5,259.99,110,"Noise-cancelling wireless earbuds with high-fidelity sound","AudioPlus",105,0.055,"3.2 x 3.2 x 1 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
76,4K TV 125",6,2299.99,6,"125-inch 4K Ultra HD Smart TV","VisionElectronics",106,30,"114.0 x 63.0 x 3.0 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
77,Digital Camera J5,7,1199.99,22,"Digital camera with 100.3MP sensor and 8K video recording","CaptureTech",107,0.95,"5.7 x 4.6 x 3.6 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
78,Bluetooth Speaker Y1,8,239.99,45,"Portable Bluetooth speaker with 60-hour battery life","SoundWave",108,0.65,"7.7 x 3.6 x 3.4 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
79,Smart Home Hub U2,9,299.99,25,"Smart home hub with advanced AI, voice assistant, security, home automation, energy monitoring, and health tracking","HomeSmart",109,0.75,"4.2 x 4.2 x 2.4 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
80,Gaming Console U1,10,849.99,10,"Next-gen gaming console with 64TB storage and VR support","GameMaster",110,5,"16.1 x 10.9 x 4.8 inches","2022-11-14 17:00:00","2022-11-14 17:00:00"
81,Smartphone H1,1,1099.99,36,"A high-end smartphone with 32TB storage","BrandTech",101,0.23,"6.9 x 3.7 x 0.3 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
82,Laptop E200,2,2099.99,21,"Powerful laptop with 4TB RAM and 128TB SSD","CompuTech",102,2.3,"21.0 x 13.0 x 1.4 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
83,Tablet V10,3,899.99,30,"14-inch tablet with 16TB storage","TabWorld",103,0.9,"10.8 x 7.8 x 0.3 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
84,Smartwatch Z3,4,369.99,60,"Smartwatch with ECG, blood oxygen monitor, GPS, LTE, NFC, solar charging, AI assistant, and fitness tracking","WearableTech",104,0.13,"2.4 x 2.4 x 0.4 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
85,Wireless Earbuds I2,5,279.99,105,"Noise-cancelling wireless earbuds with ultra-high-fidelity sound","AudioPlus",105,0.06,"3.3 x 3.3 x 1 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
86,4K TV 135",6,2499.99,5,"135-inch 4K Ultra HD Smart TV","VisionElectronics",106,32,"124.0 x 68.5 x 3.1 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
87,Digital Camera K5,7,1299.99,20,"Digital camera with 110.5MP sensor and 8K video recording","CaptureTech",107,1,"5.8 x 4.7 x 3.7 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
88,Bluetooth Speaker Z1,8,259.99,40,"Portable Bluetooth speaker with 70-hour battery life","SoundWave",108,0.7,"7.8 x 3.7 x 3.5 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
89,Smart Home Hub T2,9,319.99,20,"Smart home hub with advanced AI, voice assistant, security, home automation, energy monitoring, health tracking, and entertainment control","HomeSmart",109,0.8,"4.3 x 4.3 x 2.5 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
90,Gaming Console T1,10,899.99,8,"Next-gen gaming console with 128TB storage and VR support","GameMaster",110,5.2,"16.2 x 11.0 x 4.9 inches","2022-10-13 18:00:00","2022-10-13 18:00:00"
91,Smartphone I1,1,1149.99,34,"A high-end smartphone with 64TB storage","BrandTech",101,0.24,"7.0 x 3.8 x 0.3 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
92,Laptop F200,2,2199.99,20,"Powerful laptop with 8TB RAM and 256TB SSD","CompuTech",102,2.4,"22.0 x 13.5 x 1.5 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
93,Tablet W10,3,949.99,25,"14.5-inch tablet with 32TB storage","TabWorld",103,0.95,"10.9 x 7.9 x 0.3 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
94,Smartwatch A4,4,389.99,55,"Smartwatch with ECG, blood oxygen monitor, GPS, LTE, NFC, solar charging, AI assistant, fitness tracking, and sleep monitoring","WearableTech",104,0.14,"2.5 x 2.5 x 0.4 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
95,Wireless Earbuds J2,5,299.99,100,"Noise-cancelling wireless earbuds with studio-grade sound","AudioPlus",105,0.065,"3.4 x 3.4 x 1 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
96,4K TV 145",6,2699.99,4,"145-inch 4K Ultra HD Smart TV","VisionElectronics",106,34,"134.0 x 74.0 x 3.2 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
97,Digital Camera L5,7,1399.99,18,"Digital camera with 120.7MP sensor and 8K video recording","CaptureTech",107,1.05,"5.9 x 4.8 x 3.8 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
98,Bluetooth Speaker A2,8,279.99,35,"Portable Bluetooth speaker with 80-hour battery life","SoundWave",108,0.75,"7.9 x 3.8 x 3.6 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
99,Smart Home Hub S2,9,339.99,15,"Smart home hub with advanced AI, voice assistant, security, home automation, energy monitoring, health tracking, entertainment control, and remote access","HomeSmart",109,0.85,"4.4 x 4.4 x 2.6 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
100,Gaming Console S1,10,949.99,6,"Next-gen gaming console with 256TB storage and VR support","GameMaster",110,5.4,"16.3 x 11.1 x 5.0 inches","2022-09-12 19:00:00","2022-09-12 19:00:00"
101,Smartphone J1,1,1199.99,32,"A high-end smartphone with 128TB storage","BrandTech",101,0.25,"7.1 x 3.9 x 0.3 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
102,Laptop G200,2,2299.99,19,"Powerful laptop with 16TB RAM and 512TB SSD","CompuTech",102,2.5,"23.0 x 14.0 x 1.6 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
103,Tablet X10,3,999.99,20,"15-inch tablet with 64TB storage","TabWorld",103,1,"11.0 x 8.0 x 0.3 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
104,Smartwatch B4,4,409.99,50,"Smartwatch with ECG, blood oxygen monitor, GPS, LTE, NFC, solar charging, AI assistant, fitness tracking, sleep monitoring, and stress management","WearableTech",104,0.15,"2.6 x 2.6 x 0.4 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
105,Wireless Earbuds K2,5,319.99,95,"Noise-cancelling wireless earbuds with professional-grade sound","AudioPlus",105,0.07,"3.5 x 3.5 x 1 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
106,4K TV 155",6,2899.99,3,"155-inch 4K Ultra HD Smart TV","VisionElectronics",106,36,"144.0 x 79.0 x 3.3 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
107,Digital Camera M5,7,1499.99,16,"Digital camera with 130.9MP sensor and 8K video recording","CaptureTech",107,1.1,"6.0 x 4.9 x 3.9 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
108,Bluetooth Speaker B2,8,299.99,30,"Portable Bluetooth speaker with 90-hour battery life","SoundWave",108,0.8,"8.0 x 3.9 x 3.7 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
109,Smart Home Hub R2,9,359.99,10,"Smart home hub with advanced AI, voice assistant, security, home automation, energy monitoring, health tracking, entertainment control, remote access, and predictive analytics","HomeSmart",109,0.9,"4.5 x 4.5 x 2.7 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
110,Gaming Console R1,10,999.99,4,"Next-gen gaming console with 512TB storage and VR support","GameMaster",110,5.6,"16.4 x 11.2 x 5.1 inches","2022-08-11 20:00:00","2022-08-11 20:00:00"
111,Smartphone K1,1,1249.99,30,"A high-end smartphone with 256TB storage","BrandTech",101,0.26,"7.2 x 4.0 x 0.3 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
112,Laptop H200,2,2399.99,18,"Powerful laptop with 32TB RAM and 1PB SSD","CompuTech",102,2.6,"24.0 x 14.5 x 1.7 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
113,Tablet Y10,3,1049.99,15,"15.5-inch tablet with 128TB storage","TabWorld",103,1.05,"11.1 x 8.1 x 0.3 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
114,Smartwatch C4,4,429.99,45,"Smartwatch with ECG, blood oxygen monitor, GPS, LTE, NFC, solar charging, AI assistant, fitness tracking, sleep monitoring, stress management, and hydration tracking","WearableTech",104,0.16,"2.7 x 2.7 x 0.4 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
115,Wireless Earbuds L2,5,339.99,90,"Noise-cancelling wireless earbuds with reference-grade sound","AudioPlus",105,0.075,"3.6 x 3.6 x 1 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
116,4K TV 165",6,3099.99,2,"165-inch 4K Ultra HD Smart TV","VisionElectronics",106,38,"154.0 x 84.0 x 3.4 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
117,Digital Camera N5,7,1599.99,14,"Digital camera with 141.1MP sensor and 8K video recording","CaptureTech",107,1.15,"6.1 x 5.0 x 4.0 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
118,Bluetooth Speaker C2,8,319.99,25,"Portable Bluetooth speaker with 100-hour battery life","SoundWave",108,0.85,"8.1 x 4.0 x 3.8 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
119,Smart Home Hub Q2,9,379.99,5,"Smart home hub with advanced AI, voice assistant, security, home automation, energy monitoring, health tracking, entertainment control, remote access, predictive analytics, and environmental monitoring","HomeSmart",109,0.95,"4.6 x 4.6 x 2.8 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
120,Gaming Console Q1,10,1049.99,2,"Next-gen gaming console with 1PB storage and VR support","GameMaster",110,5.8,"16.5 x 11.3 x 5.2 inches","2022-07-10 21:00:00","2022-07-10 21:00:00"
121,Smartphone L1,1,1299.99,28,"A high-end smartphone with 512TB storage","BrandTech",101,0.27,"7.3 x 4.1 x 0.3 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
122,Laptop I200,2,2499.99,17,"Powerful laptop with 64TB RAM and 2PB SSD","CompuTech",102,2.7,"25.0 x 15.0 x 1.8 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
123,Tablet Z10,3,1099.99,10,"16-inch tablet with 256TB storage","TabWorld",103,1.1,"11.2 x 8.2 x 0.3 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
124,Smartwatch D4,4,449.99,40,"Smartwatch with ECG, blood oxygen monitor, GPS, LTE, NFC, solar charging, AI assistant, fitness tracking, sleep monitoring, stress management, hydration tracking, and temperature monitoring","WearableTech",104,0.17,"2.8 x 2.8 x 0.4 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
125,Wireless Earbuds M2,5,359.99,85,"Noise-cancelling wireless earbuds with audiophile-grade sound","AudioPlus",105,0.08,"3.7 x 3.7 x 1 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
126,4K TV 175",6,3299.99,1,"175-inch 4K Ultra HD Smart TV","VisionElectronics",106,40,"164.0 x 89.0 x 3.5 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
127,Digital Camera O5,7,1699.99,12,"Digital camera with 151.3MP sensor and 8K video recording","CaptureTech",107,1.2,"6.2 x 5.1 x 4.1 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
128,Bluetooth Speaker D2,8,339.99,20,"Portable Bluetooth speaker with 110-hour battery life","SoundWave",108,0.9,"8.2 x 4.1 x 3.9 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
129,Smart Home Hub P2,9,399.99,4,"Smart home hub with advanced AI, voice assistant, security, home automation, energy monitoring, health tracking, entertainment control, remote access, predictive analytics, environmental monitoring, and smart lighting control","HomeSmart",109,1,"4.7 x 4.7 x 2.9 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
130,Gaming Console P1,10,1099.99,1,"Next-gen gaming console with 2PB storage and VR support","GameMaster",110,6,"16.6 x 11.4 x 5.3 inches","2022-06-09 22:00:00","2022-06-09 22:00:00"
131,Smartphone M1,1,1349.99,26,"A high-end smartphone with 1PB storage","BrandTech",101,0.28,"7.4 x 4.2 x 0.3 inches","2022-05-08 23:00:00","2022-05-08 23:00:00"
132,Laptop J200,2,2599.99,16,"Powerful laptop with 128TB RAM and 4PB SSD","CompuTech",102,2.8,"26.0 x 15.5 x 1.9 inches","2022-05-08 23:00:00","2022-05-08 23:00:00"
133,Tablet A11,3,1149.99,8,"16.5-inch tablet with 512TB storage","TabWorld",103,1.15,"11.3 x 8.3 x 0.3 inches","2022-05-08 23:00:00","2022-05-08 23:00:00"
